id,warehouse_aisle,reason
602,A1,no need
592,A1,no need
545,A1,no need
40,A1,no need
951,A10,no need
628,A10,no need
205,A2,no need
864,A2,no need
685,A2,no need
646,A3,no need
366,A3,no need
901,A3,no need
548,A3,no need
737,A3,no need
417,A4,no need
284,A5,no need
624,A5,no need
30,A5,no need
128,A5,no need
676,A5,no need
272,A7,no need
446,A7,no need
180,A7,no need
52,A8,no need
408,A8,no need
980,A8,no need
71,A8,no need
979,A9,no need
245,A9,no need
201,B10,no need
360,B10,no need
197,B10,no need
405,B2,no need
578,B2,no need
707,B2,no need
817,B3,no need
817,B3,no need
797,B3,no need
191,B3,no need
266,B4,no need
580,B5,no need
173,B5,no need
110,B5,no need
726,B7,no need
202,B8,no need
202,B8,no need
441,B8,no need
441,B8,no need
891,B9,no need
364,B9,no need
688,B9,no need
891,B9,no need
269,C1,no need
61,C10,no need
677,C10,no need
175,C10,no need
939,C2,no need
495,C2,no need
939,C2,no need
753,C2,no need
511,C3,no need
814,C3,no need
2,C3,no need
564,C4,no need
422,C4,no need
900,C6,no need
63,C6,no need
342,C7,no need
720,C7,no need
689,C7,no need
109,C7,no need
98,C9,no need
899,C9,no need
153,C9,no need
825,C9,no need
717,C9,no need
583,C9,no need
942,D10,no need
615,D10,no need
169,D2,no need
373,D2,no need
373,D2,no need
169,D2,no need
991,D3,no need
860,D3,no need
860,D3,no need
870,D3,no need
310,D3,no need
317,D4,no need
743,D5,no need
358,D5,no need
784,D5,no need
691,D5,no need
112,D6,no need
773,D6,no need
196,D7,no need
943,D7,no need
503,D7,no need
235,D8,no need
263,D8,no need
412,D8,no need
643,D8,no need
235,D8,no need
596,D8,no need
461,D9,no need
997,D9,no need
662,D9,no need
526,D9,no need
914,E1,no need
378,E1,no need
841,E2,no need
565,E2,no need
403,E3,no need
334,E3,no need
438,E3,no need
403,E3,no need
334,E3,no need
706,E4,no need
769,E4,no need
930,E4,no need
132,E5,no need
47,E5,no need
690,E5,no need
772,E5,no need
996,E6,no need
238,E6,no need
990,E6,no need
62,E6,no need
352,E7,no need
747,E7,no need
68,E7,no need
999,E8,no need
75,E8,no need
667,E8,no need
752,E9,no need
752,E9,no need
727,E9,no need
518,E9,no need
301,E9,no need
265,F1,no need
750,F1,no need
292,F1,no need
130,F1,no need
390,F10,no need
293,F10,no need
390,F10,no need
136,F10,no need
857,F2,no need
964,F2,no need
28,F3,no need
977,F3,no need
299,F3,no need
182,F3,no need
796,F4,no need
282,F4,no need
796,F4,no need
631,F5,no need
204,F5,no need
520,F5,no need
631,F5,no need
834,F6,no need
756,F6,no need
348,F6,no need
387,F7,no need
807,F8,no need
92,F8,no need
775,F8,no need
807,F8,no need
244,F8,no need
